name,percentage_probability,box_points
car,97.74682521820068,"[1394, 393, 1642, 484]"
car,92.689049243927,"[670, 357, 847, 430]"
car,92.47512817382812,"[1598, 473, 1918, 591]"
person,89.99806046485901,"[1282, 802, 1352, 1040]"
bus,88.8450026512146,"[849, 325, 1205, 483]"
person,85.52587032318115,"[474, 994, 573, 1078]"
person,84.81609225273132,"[22, 556, 79, 688]"
person,83.57378244400024,"[1432, 887, 1512, 1078]"
car,81.14050626754761,"[500, 363, 711, 443]"
car,77.08873152732849,"[1840, 567, 1918, 659]"
bicycle,76.13831162452698,"[432, 422, 497, 476]"
person,72.06348180770874,"[389, 454, 427, 559]"
person,71.46035432815552,"[1324, 942, 1416, 1078]"
person,70.24214267730713,"[127, 525, 168, 642]"
person,63.63508701324463,"[358, 470, 392, 554]"
person,61.15447282791138,"[173, 509, 223, 625]"
truck,60.135823488235474,"[171, 334, 338, 407]"
person,55.65541982650757,"[1216, 340, 1243, 411]"
person,54.002416133880615,"[1737, 984, 1819, 1078]"
car,53.00299525260925,"[451, 327, 698, 435]"
parking meter,51.03382468223572,"[709, 881, 796, 1054]"
person,50.89446306228638,"[1329, 323, 1358, 427]"
